model,experiment,task_type,seed,best_epoch,test_loss,test_metric,metric_name
ctgru,cheetah,regression,1,00000017,2.76152682,0.74744916,mae
ctgru,gesture,classification,1,027,0.96,70.07,accuracy
ctgru,har,classification,1,029,0.12,96.76,accuracy
ctgru,occupancy,classification,1,044,0.24,92.41,accuracy
ctgru,ozone_fixed,classification,1,00000024,0.14583309,0.19999959,accuracy
ctgru,person,classification,1,046,0.43,84.65,accuracy
ctgru,power,regression,1,00000043,0.00059866,0.01592480,mae
ctgru,smnist,classification,1,048,0.07,98.22,accuracy
ctgru,traffic,regression,1,00000049,0.08052825,0.19886538,mae
ctrnn,cheetah,regression,1,00000049,2.48436260,0.69377679,mae
ctrnn,gesture,classification,1,033,1.12,60.21,accuracy
ctrnn,har,classification,1,044,0.11,96.93,accuracy
ctrnn,occupancy,classification,1,044,0.27,90.79,accuracy
ctrnn,ozone_fixed,classification,1,00000026,0.14894257,0.22598837,accuracy
ctrnn,person,classification,1,048,0.58,79.52,accuracy
ctrnn,power,regression,1,00000049,0.00072928,0.01739998,mae
ctrnn,smnist,classification,1,048,0.12,96.75,accuracy
ctrnn,traffic,regression,1,00000048,0.10817971,0.22267255,mae
lstm,cheetah,regression,1,00000036,2.42876124,0.67795336,mae
lstm,gesture,classification,1,016,1.12,62.99,accuracy
lstm,har,classification,1,048,0.12,96.78,accuracy
lstm,occupancy,classification,1,047,0.15,95.03,accuracy
lstm,ozone_fixed,classification,1,00000048,0.14141528,0.20539701,accuracy
lstm,person,classification,1,048,0.48,82.75,accuracy
lstm,power,regression,1,00000049,0.00062648,0.01643574,mae
lstm,smnist,classification,1,047,0.05,98.78,accuracy
lstm,traffic,regression,1,00000048,0.08602718,0.19345354,mae
ltc,cheetah,regression,1,00000048,2.29979300,0.62596613,mae
ltc,gesture,classification,1,046,1.14,54.13,accuracy
ltc,har,classification,1,041,0.22,95.69,accuracy
ltc,occupancy,classification,1,048,0.28,90.73,accuracy
ltc,ozone_fixed,classification,1,00000045,0.14498512,0.24054436,accuracy
ltc,person,classification,1,033,0.70,76.39,accuracy
ltc,power,regression,1,00000049,0.00066889,0.01654773,mae
ltc,smnist,classification,1,049,1.07,59.09,accuracy
ltc,traffic,regression,1,00000049,0.06798095,0.15911639,mae
node,cheetah,regression,1,00000026,3.99837685,0.98876601,mae
