model,experiment,task_type,seed,best_epoch,test_loss,test_metric,metric_name
ctgru,cheetah,regression,1,00000049,3.56265283,0.88097912,mae
ctgru,gesture,classification,1,043,1.02,60.69,accuracy
ctgru,har,classification,1,039,0.08,97.31,accuracy
ctgru,occupancy,classification,1,045,0.11,95.85,accuracy
ctgru,ozone_fixed,classification,1,00000046,0.14418525,0.21039879,accuracy
ctgru,person,classification,1,048,0.61,78.30,accuracy
ctgru,power,regression,1,00000047,0.00071444,0.01695248,mae
ctgru,smnist,classification,1,045,0.09,97.60,accuracy
ctgru,traffic,regression,1,00000049,0.14927310,0.28689948,mae
ctrnn,cheetah,regression,1,00000049,4.54731131,1.06732130,mae
ctrnn,gesture,classification,1,045,1.14,54.03,accuracy
ctrnn,har,classification,1,049,0.13,95.32,accuracy
ctrnn,occupancy,classification,1,031,0.25,92.73,accuracy
ctrnn,ozone_fixed,classification,1,00000039,0.14971879,0.12876667,accuracy
ctrnn,person,classification,1,049,0.86,68.77,accuracy
ctrnn,power,regression,1,00000049,0.00095314,0.01884802,mae
ctrnn,smnist,classification,1,044,0.18,94.79,accuracy
ctrnn,traffic,regression,1,00000049,0.16816355,0.29833886,mae
lstm,cheetah,regression,1,00000049,4.00667000,0.96096569,mae
lstm,gesture,classification,1,023,1.10,57.33,accuracy
lstm,har,classification,1,048,0.09,96.99,accuracy
lstm,occupancy,classification,1,041,0.13,92.51,accuracy
lstm,ozone_fixed,classification,1,00000028,0.14644705,0.17152928,accuracy
lstm,person,classification,1,048,0.73,73.76,accuracy
lstm,power,regression,1,00000049,0.00078404,0.01771247,mae
lstm,smnist,classification,1,041,0.08,97.66,accuracy
lstm,traffic,regression,1,00000049,0.15485829,0.28470320,mae
ltc,cheetah,regression,1,00000049,3.55454493,0.87205678,mae
ltc,gesture,classification,1,047,1.26,47.64,accuracy
ltc,har,classification,1,044,0.16,94.91,accuracy
ltc,occupancy,classification,1,045,0.13,93.43,accuracy
ltc,person,classification,1,045,0.91,69.81,accuracy
ltc,power,regression,1,00000048,0.00079693,0.01775866,mae
ltc,smnist,classification,1,049,1.32,47.59,accuracy
ltc,traffic,regression,1,00000049,0.08998983,0.19198030,mae
