model,experiment,task_type,seed,best_epoch,test_loss,test_metric,metric_name
ctgru,gesture,classification,1,129,1.31,72.74,accuracy
ctgru,gesture,classification,2,098,1.22,70.00,accuracy
ctgru,gesture,classification,3,090,1.14,71.25,accuracy
ctgru,gesture,classification,4,078,1.04,72.81,accuracy
ctgru,gesture,classification,5,101,1.54,70.21,accuracy
ctgru,har,classification,1,297,0.34,94.19,accuracy
ctgru,har,classification,2,083,0.14,96.08,accuracy
ctgru,har,classification,3,121,0.18,95.61,accuracy
ctgru,har,classification,4,134,0.21,95.90,accuracy
ctgru,har,classification,5,125,0.18,95.54,accuracy
ctgru,occupancy,classification,1,275,0.46,92.68,accuracy
ctgru,occupancy,classification,2,263,0.20,96.44,accuracy
ctgru,occupancy,classification,3,181,0.55,89.72,accuracy
ctgru,occupancy,classification,4,261,0.39,92.67,accuracy
ctgru,occupancy,classification,5,220,1.23,88.38,accuracy
ctrnn,gesture,classification,1,233,1.33,58.47,accuracy
ctrnn,gesture,classification,2,272,1.52,60.52,accuracy
ctrnn,gesture,classification,3,169,1.16,61.63,accuracy
ctrnn,gesture,classification,4,118,1.10,63.82,accuracy
ctrnn,gesture,classification,5,208,1.08,61.91,accuracy
ctrnn,har,classification,1,157,0.17,96.12,accuracy
ctrnn,har,classification,2,083,0.12,96.97,accuracy
ctrnn,har,classification,3,278,0.17,96.39,accuracy
ctrnn,har,classification,4,294,0.20,95.81,accuracy
ctrnn,har,classification,5,124,0.13,96.25,accuracy
ctrnn,occupancy,classification,1,269,0.58,89.57,accuracy
ctrnn,occupancy,classification,2,282,1.11,87.40,accuracy
ctrnn,occupancy,classification,3,298,0.26,94.46,accuracy
ctrnn,occupancy,classification,4,294,0.38,92.47,accuracy
ctrnn,occupancy,classification,5,281,0.84,89.84,accuracy
lstm,gesture,classification,1,105,1.82,60.76,accuracy
lstm,gesture,classification,2,069,1.22,64.03,accuracy
lstm,gesture,classification,3,146,1.81,62.81,accuracy
lstm,gesture,classification,4,188,2.37,60.52,accuracy
lstm,gesture,classification,5,126,1.88,58.75,accuracy
lstm,har,classification,1,242,0.28,94.26,accuracy
lstm,har,classification,2,291,0.19,97.02,accuracy
