model,experiment,task_type,seed,best_epoch,test_loss,test_metric,metric_name
ltc,cheetah,regression,1,00000193,2.29716825,0.61749226,mae
ltc,gesture,classification,1,135,1.17,53.89,accuracy
ltc,har,classification,1,121,0.24,96.00,accuracy
ltc,occupancy,classification,1,175,0.31,91.32,accuracy
ltc,ozone_fixed,classification,1,00000182,0.12516612,0.25478616,accuracy
ltc,person,classification,1,146,0.76,73.66,accuracy
ltc,power,regression,1,00000199,0.00063284,0.01608640,mae
ltc,smnist,classification,1,199,0.76,72.81,accuracy
ltc,traffic,regression,1,00000197,0.06329101,0.15362220,mae
srnn,cheetah,regression,1,00000078,2.93544579,0.77894419,mae
srnn,gesture,classification,1,158,1.17,57.36,accuracy
srnn,har,classification,1,116,0.20,96.85,accuracy
srnn,occupancy,classification,1,192,0.12,93.44,accuracy
srnn,ozone_fixed,classification,1,00000180,0.13771430,0.20540518,accuracy
srnn,person,classification,1,169,0.89,67.24,accuracy
srnn,power,regression,1,00000188,0.00067231,0.01661880,mae
srnn,smnist,classification,1,198,0.19,94.72,accuracy
srnn,traffic,regression,1,00000198,0.10115363,0.21262455,mae
srnn-per-neuron,cheetah,regression,1,00000114,2.57880306,0.71374482,mae
srnn-per-neuron,gesture,classification,1,093,1.15,55.31,accuracy
srnn-per-neuron,har,classification,1,144,0.10,97.55,accuracy
srnn-per-neuron,occupancy,classification,1,189,0.16,94.11,accuracy
srnn-per-neuron,ozone_fixed,classification,1,00000189,0.13884181,0.21058941,accuracy
srnn-per-neuron,person,classification,1,195,0.81,70.52,accuracy
srnn-per-neuron,power,regression,1,00000192,0.00066457,0.01677165,mae
srnn-per-neuron,smnist,classification,1,188,0.11,96.68,accuracy
srnn-per-neuron,traffic,regression,1,00000194,0.07902876,0.18574619,mae
