model,experiment,task_type,seed,best_epoch,test_loss,test_metric,metric_name
ctgru,cheetah,regression,1,00000024,3.33086038,0.83847916,mae
ctgru,gesture,classification,1,022,1.06,59.97,accuracy
ctgru,har,classification,1,013,0.13,96.36,accuracy
ctgru,occupancy,classification,1,024,0.24,92.43,accuracy
ctgru,ozone,classification,1,00000020,0.13568236,0.12025544,accuracy
ctgru,person,classification,1,022,0.47,82.94,accuracy
ctgru,power,regression,1,00000022,0.00064003,0.01639794,mae
ctgru,smnist,classification,1,024,0.08,97.81,accuracy
ctgru,traffic,regression,1,00000024,0.10197192,0.22843608,mae
ctrnn,cheetah,regression,1,00000024,4.11824942,0.99715167,mae
ctrnn,gesture,classification,1,021,1.15,53.96,accuracy
ctrnn,har,classification,1,021,0.11,96.22,accuracy
ctrnn,occupancy,classification,1,024,0.26,90.55,accuracy
ctrnn,ozone,classification,1,00000017,0.13649091,0.12075461,accuracy
ctrnn,person,classification,1,024,0.67,76.37,accuracy
ctrnn,power,regression,1,00000023,0.00078231,0.01829873,mae
ctrnn,smnist,classification,1,023,0.14,95.99,accuracy
ctrnn,traffic,regression,1,00000024,0.11325098,0.23044695,mae
lstm,cheetah,regression,1,00000024,3.73480701,0.91760528,mae
lstm,gesture,classification,1,024,1.05,60.73,accuracy
lstm,har,classification,1,022,0.09,97.33,accuracy
lstm,occupancy,classification,1,021,0.18,94.21,accuracy
lstm,ozone,classification,1,00000024,0.13207813,0.15703946,accuracy
lstm,person,classification,1,024,0.54,81.04,accuracy
lstm,power,regression,1,00000019,0.00066950,0.01707046,mae
lstm,smnist,classification,1,013,0.06,98.21,accuracy
lstm,traffic,regression,1,00000024,0.09972292,0.21388780,mae
ltc,cheetah,regression,1,00000024,2.22168779,0.62979448,mae
ltc,gesture,classification,1,023,1.17,53.96,accuracy
ltc,har,classification,1,015,0.15,96.22,accuracy
ltc,occupancy,classification,1,022,0.22,93.92,accuracy
ltc,ozone,classification,1,00000021,0.13500912,0.12430708,accuracy
ltc,person,classification,1,022,0.46,83.07,accuracy
ltc,power,regression,1,00000024,0.00074637,0.01772242,mae
ltc,smnist,classification,1,022,0.26,92.44,accuracy
ltc,traffic,regression,1,00000021,0.06177103,0.15033916,mae
node,cheetah,regression,1,00000024,5.56092024,1.22655869,mae
node,gesture,classification,1,022,1.71,44.13,accuracy
node,har,classification,1,023,0.11,96.22,accuracy
node,occupancy,classification,1,022,0.23,93.61,accuracy
node,ozone,classification,1,00000013,1.85217595,0.16694468,accuracy
node,person,classification,1,024,0.81,70.58,accuracy
node,power,regression,1,00000024,0.00123705,0.02190603,mae
node,smnist,classification,1,019,0.11,96.66,accuracy
node,traffic,regression,1,00000023,0.19870692,0.33262774,mae
srnn,cheetah,regression,1,00000023,2.58258176,0.71611357,mae
srnn,gesture,classification,1,022,1.18,56.84,accuracy
srnn,har,classification,1,021,0.22,95.40,accuracy
srnn,occupancy,classification,1,023,0.10,95.57,accuracy
srnn,ozone,classification,1,00000003,0.13532218,0.15697624,accuracy
srnn,person,classification,1,017,0.91,64.79,accuracy
srnn,power,regression,1,00000015,0.00090196,0.01884025,mae
srnn,smnist,classification,1,023,0.20,93.73,accuracy
srnn,traffic,regression,1,00000013,0.14844710,0.29220843,mae
